
Card{id=t8v6w5, name='Ironjaw Croc', type='beast', attack=6, hp=9, cost=5, ability='Bite: ignores 2 armour'}
Card{id=r6q9s3, name='Molten Colossus', type='elemental', attack=11, hp=12, cost=9, ability='Enrage: gains +2 attack when damaged'}
Card{id=d5p0q9, name='Thornback Turtle', type='creature', attack=2, hp=20, cost=5, ability='Taunt, Regenerate 1 HP per turn'}
Card{id=g4v1w3, name='Cursed Wraith', type='undead', attack=4, hp=3, cost=2, ability='Drain: heals 1 HP on hit'}
Card{id=v9z8a0, name='Gale Hawk', type='beast', attack=4, hp=3, cost=2, ability='Haste, Aerial: cannot be targeted by ground units'}
Card{id=ao6l8m2, name='Blessed Unicorn', type='holy', attack=3, hp=8, cost=4, ability='Purify: removes all debuffs from an ally'}
Card{id=af9t8u2, name='Mistblade Ninja', type='assassin', attack=6, hp=4, cost=3, ability='Vanish: returns to hand after attacking'}
Card{id=ad6p0q3, name='Sapphire Djinn', type='elemental', attack=6, hp=8, cost=6, ability='Wish: draw 2 cards on play'}
Card{id=ac2n4o9, name='Blizzard Owl', type='beast', attack=3, hp=5, cost=3, ability='Chill: reduces enemy attack by 2 for 2 turns'}
Card{id=aq8p3r9, name='Starfall Wizard', type='mage', attack=6, hp=6, cost=5, ability='Meteor: deals 4 damage to one enemy and 1 to all others'}
Card{id=sb001, name='Scrap Bot', type='bot', attack=1, hp=1, cost=1, ability='(A) Fabricate- Summon 1 Scrap token to your frontline'}
Card{id=__SCRAP__, name='Scrap', type='item', attack=0, hp=1, cost=0, ability='Used as fuel for bot abilities'}
Card{id=rod001, name='Rodent', type='creature', attack=1, hp=1, cost=1, ability='(On Death) Scurry- Draw 1 card'}
Card{id=smi001, name='Shield Imp', type='demon', attack=1, hp=2, cost=2, ability='(P) Ward- Takes -1 damage from attacks'}
Card{id=hd001, name='Honeydew', type='bug', attack=1, hp=1, cost=1, ability='(A) Dew Drop- Spend 1 soul to give a bug +1 ATK & HP'}
Card{id=f9t2u8, name='Stormrider', type='elemental', attack=7, hp=5, cost=4, ability='Haste'}
Card{id=h6x5y0, name='Granite Sentinel', type='construct', attack=3, hp=18, cost=5, ability='Taunt, Shield'}
Card{id=n5j1k6, name='Verdant Treant', type='nature', attack=5, hp=14, cost=6, ability='Rooted: cannot move but gains +2 attack'}
Card{id=m2h8i4, name='Frostbite Sprite', type='elemental', attack=3, hp=3, cost=2, ability='Freeze target for 1 turn'}
Card{id=s1t4u7, name='Moonlit Faerie', type='fae', attack=2, hp=4, cost=1, ability='Evasion: 30% dodge chance'}
Card{id=av0z6a1, name='Silverthorn Druid', type='nature', attack=4, hp=7, cost=4, ability='Overgrowth: summons a 1/3 Vine Wall'}
Card{id=ab8l1m5, name='Netherfiend', type='demon', attack=8, hp=6, cost=5, ability='Lifesteal'}
Card{id=ad6p0q3, name='Sapphire Djinn', type='elemental', attack=6, hp=8, cost=6, ability='Wish: draw 2 cards on play'}
Card{id=ao6l8m2, name='Blessed Unicorn', type='holy', attack=3, hp=8, cost=4, ability='Purify: removes all debuffs from an ally'}
Card{id=am9h2i7, name='Tidus the Ancient', type='aquatic', attack=7, hp=11, cost=8, ability='Flood: all ground units take 2 damage'}
Card{id=upb001, name='Upgrade Bot', type='bot', attack=0, hp=1, cost=1, ability='(A) Upgrade- Give a friendly bot +2 ATK or +2 HP'}
Card{id=__SCRAP__, name='Scrap', type='item', attack=0, hp=1, cost=0, ability='Used as fuel for bot abilities'}
Card{id=stk001, name='Stickling', type='bug', attack=2, hp=1, cost=2, ability=''}
Card{id=shb001, name='Shield Bot', type='bot', attack=3, hp=5, cost=3, ability=''}
Card{id=hd001, name='Honeydew', type='bug', attack=1, hp=1, cost=1, ability='(A) Dew Drop- Spend 1 soul to give a bug +1 ATK & HP'}
